isolate,group_level_1,group_level_2
O157,1,1
O169H46,1,1
O119H26,1,2
O136H46,1,1
O132H18,1,1
O161H34,1,1
O80H45,1,1
O148H10,1,1
O71H34,1,1
O166H14,1,1
O118_O151H20,1,1
O38H39,1,1
O121H46,1,1
O96H46,1,1
O111H28,1,3
O15H45,1,3
O173H25,1,4
O87H25,1,1
O123H34,1,1
O133H29,1,1
O86H25,1,2
O110H7,1,1
O109H28,1,1
O91H7,1,1
O157H16,1,3
O27H18,1,2
O24H25,1,2
O145H28,1,1
O169_O183H25,1,4
O157H7,1,1
O1H28,1,1
O170H26,1,1
O4H34,1,1
O59H25,1,2
O88H10,1,1
O143H34,1,1
O169_O183H41,1,1
O119H27,1,2
O45H23,1,1
O52H45,1,1
O51H34,1,1
O49H28,1,1
O166H45,1,3
O84H25,1,2
O5H28,1,1
O109H32,1,2
O97H45,1,1
O87H9,1,4
O160H23,1,1
O27H9,1,1
O79H10,1,2
O172H45,1,1
O160H28,1,1
O73H19,1,1
O9H1,1,1
O187H9,1,1
O169H9,1,1
O157H4,1,2
O137H41,1,1
O169H25,1,4
O13H23,1,1
O8H1,1,1
O140H10,1,2
O169H48,1,1
O38H45,1,1
O182H9,1,1
O165H26,1,1
O159H25,1,2
O138H48,1,1
O143H26,1,4
O164H4,1,1
O108H9,1,1
O11H48,1,1
O169H41,1,1
O55H7,1,1
O162H46,1,1
O34H20,1,1
O91H20,1,1
O92H37,1,1
O131H16,1,3
O169_O183H9,1,1
O166H28,1,1
O151H20,1,1
O180H32,1,1
O86H51,1,3
O50_O2H11,1,1
O140H25,1,2
O119H16,1,3
O112abH28,1,1
O131H25,1,2
O27H30,1,1
O153_O178H16,2,5
O80H40,2,6
O118_O151H12,2,6
O7H10,2,7
O115H51,2,7
O41H21,2,7
O119H23,2,7
O43H23,2,7
O36H51,2,7
O153_O178H12,2,8
O21H27,2,5
O96H9,2,9
O120H5,2,8
O15H21,2,5
O75H38,2,9
O147H21,2,5
O160H34,2,6
O166H5,2,6
O99H9,2,6
O162H21,2,10
O8H31,2,5
O132H21,2,7
O70H19,2,6
O128abH14,2,7
O30H12,2,7
O8H49,2,7
O89H37,2,6
O53H18,2,6
O170H32,2,9
O79H2,2,5
O109H11,2,5
O128acH8,2,5
O2H9,2,7
O8H23,2,7
O109H14,2,5
O99H12,2,5
O152,2,9
O140H21,2,5
O75H9,2,7
O82H40,2,9
O40H32,2,6
O4H42,2,6
O180H51,2,6
O86H12,2,6
O159H16,2,8
O75H21,2,5
O2H27,2,6
O149H46,2,6
O150,2,5
O184H11,2,6
O85H42,2,5
O19,2,8
O182H23,2,7
O64H21,2,7
O7H8,2,5
O142H38,2,5
O132H49,2,7
O159H21,2,6
O185H7,2,5
O18H49,2,5
O8H11,2,6
O60H12,2,6
O19H18,2,7
O28ac_O42H21,2,7
O92H10,2,6
O136H19,2,6
O159H23,2,7
O141abH32,2,6
O176H30,2,9
O59H19,2,7
O29H21,2,5
O79H30,2,10
O103H2,2,5
O8H40,2,7
O128abH26,2,9
O9H10,2,10
O70H40,2,6
O10H31,2,5
O134H11,2,6
O113H8,2,5
O50_O2H32,2,6
O45H14,2,7
O156H8,2,7
O137H32,2,6
O36H5,2,5
O151H12,2,6
O139H7,2,5
O11H52,2,9
O118_O151H29,2,6
O114H8,2,7
O102H30,2,7
O109H16,2,8
O162H37,2,6
O149H30,2,9
O182H16,2,5
O114H4,2,7
O119H8,2,5
O21H19,2,6
O166H25,2,6
O38H26,2,9
O70H2,2,6
O75H52,2,9
O49H19,2,5
O171H21,2,7
O32H8,2,7
O104H28,2,7
O15H11,2,6
O86H16,2,9
O19H17,2,6
O10H4,2,6
O7H19,2,7
O29H34,2,7
O7H12,2,5
O81H21,2,5
O170H18,2,7
O60H5,2,6
O28abH25,2,5
O15H27,2,5
O164H21,2,9
O78H9,2,7
O112abH19,2,7
O74H28,2,5
O168H11,2,6
O149H11,2,6
O75H55,2,7
O145H40,2,6
O140H19,2,6
O184H31,2,5
O146H21,2,5
O115H31,2,5
O74H42,2,5
O157H26,2,9
O89H32,2,6
O149H8,2,7
O9H4,2,9
O154H34,2,5
O176H9,2,7
O171H25,2,7
O41H45,2,9
O39H30,2,9
O25H28,2,6
O13_O135H54,2,6
O25H30,2,9
O99H38,2,6
O8H3,2,9
O99H25,2,6
O30H25,2,7
O74H39,2,6
O109H19,2,8
O110H10,2,7
O157H2,2,6
O8H54,2,7
O86H4,2,9
O185H16,2,7
