Isolate,Serotype
O79H2,O79H2
O15H6,O15H6
O175H5,O175H5
O50_O2H4,O50_O2H4
O29H54,O29H54
O13H29,O13H29
O59H19,O59H19
O92H33,O92H33
O87H39,O87H39
O10,O10
O160H31,O160H31
O26H12,O26H12
O111H12,O111H12
O136H40,O136H40
O156,O156
O89H9,O89H9
O163H14,O163H14
O150H21,O150H21
O76H2,O76H2
O126H25,O126H25
O83H5,O83H5
O131H5,O131H5
O33H34,O33H34
O96H19,O96H19
O98H7,O98H7
O54H10,O54H10
O146H20,O146H20
O71H12,O71H12
O16H48,O16H48
O43H23,O43H23
O9H10,O9H10
O174H43,O174H43
O83H33,O83H33
O166H10,O166H10
O8H18,O8H18
O182H16,O182H16
O100H20,O100H20
O168H42,O168H42
O88H9,O88H9
O11H25,O11H25
O23H10,O23H10
O17_O77H31,O17_O77H31
O140H10,O140H10
O2H1,O2H1
O180H10,O180H10
O187H52,O187H52
O159H23,O159H23
O82H8,O82H8
O147H40,O147H40
O85H10,O85H10
O8H27,O8H27
O88H18,O88H18
O103H21,O103H21
O160H32,O160H32
O28abH9,O28abH9
O125abH9,O125abH9
O141acH4,O141acH4
O18H31,O18H31
O149H19,O149H19
O13H23,O13H23
O159H16,O159H16
O50_O2H5,O50_O2H5
O7H6,O7H6
O96H9,O96H9
O51H10,O51H10
O71H25,O71H25
O169_O183H41,O169_O183H41
O114H45,O114H45
O130H26,O130H26
O148H28,O148H28
O185H7,O185H7
O21H14,O21H14
O136H51,O136H51
O8H8,O8H8
O25H8,O25H8
O33H6,O33H6
O106H1,O106H1
O154H10,O154H10
O128abH26,O128abH26
O65H7,O65H7
O174H2,O174H2
O25H1,O25H1
O49H25,O49H25
O148H30,O148H30
O80H42,O80H42
O50_O2H11,O50_O2H11
O45H31,O45H31
O78H23,O78H23
O157H7,O157H7
O2H6,O2H6
O141ab_O141acH19,O141ab_O141acH19
O123H16,O123H16
O24H25,O24H25
O166H49,O166H49
O158H41,O158H41
O166H5,O166H5
O4H52,O4H52
O149H10,O149H10
O100H5,O100H5
O154H12,O154H12
O160,O160
O74H23,O74H23
O12H25,O12H25
O104H4,O104H4
O13_O135H15,O13_O135H15
O93H16,O93H16
O106H45,O106H45
O96H20,O96H20
O91H45,O91H45
O112abH8,O112abH8
O145H28,O145H28
O148H53,O148H53
O116H21,O116H21
O63H6,O63H6
O3H55,O3H55
O6H7,O6H7
O41H21,O41H21
O1H8,O1H8
O30H11,O30H11
O13H11,O13H11
O39H7,O39H7
O78H12,O78H12
O157H43,O157H43
O61H34,O61H34
O25H4,O25H4
O92H20,O92H20
O174H40,O174H40
O4H42,O4H42
O171H2,O171H2
O18acH49,O18acH49
O157H19,O157H19
O9H37,O9H37
O131H16,O131H16
O171H10,O171H10
O125abH25,O125abH25
O85H31,O85H31
O169_O183H18,O169_O183H18
O62H12,O62H12
O132H25,O132H25
O137H41,O137H41
O87H7,O87H7
O9H17,O9H17
O110H10,O110H10
O71H32,O71H32
O123_O186H21,O123_O186H21
O58,O58
O140H21,O140H21
O10H25,O10H25
O156H1,O156H1
O132H2,O132H2
O21H21,O21H21
O7H7,O7H7
O131H25,O131H25
O88H14,O88H14
O155H25,O155H25
O119H2,O119H2
O75H8,O75H8
O173H5,O173H5
O109H16,O109H16
O115H5,O115H5
O75H7,O75H7
O112acH16,O112acH16
O107H5,O107H5
O132H18,O132H18
O128acH10,O128acH10
O7H45,O7H45
O78H11,O78H11
O100H30,O100H30
O104H7,O104H7
O149H46,O149H46
O142H29,O142H29
O18abH32,O18abH32
O119H6,O119H6
O15H42,O15H42
O2H32,O2H32
O88H8,O88H8
O123_O186H32,O123_O186H32
O92H37,O92H37
O4H1,O4H1
O185H8,O185H8
O105H7,O105H7
O169H4,O169H4
O156H21,O156H21
O29H21,O29H21
O45H10,O45H10
O5H10,O5H10
O4H40,O4H40
O26,O26
O157H12,O157H12
O19,O19
O8H53,O8H53
O169_O183H25,O169_O183H25
O137H32,O137H32
O45H32,O45H32
O156H11,O156H11
O173H25,O173H25
O134H21,O134H21
O15H31,O15H31
O53H4,O53H4
O55H4,O55H4
O174H7,O174H7
O22H16,O22H16
O80H40,O80H40
O154H25,O154H25
O161H4,O161H4
O107H27,O107H27
O123H45,O123H45
O162H9,O162H9
O48H21,O48H21
O18H14,O18H14
O113H8,O113H8
O104H28,O104H28
O179H9,O179H9
O55H6,O55H6
O65H21,O65H21
O5H11,O5H11
O50_O2H42,O50_O2H42
O52H45,O52H45
O112acH51,O112acH51
O28ac_O42H4,O28ac_O42H4
O184H31,O184H31
O27H30,O27H30
O99H6,O99H6
O11H11,O11H11
O102H10,O102H10
O58H21,O58H21
O128acH2,O128acH2
O15H1,O15H1
O4H16,O4H16
O36H5,O36H5
O92H10,O92H10
O91H28,O91H28
O78H19,O78H19
O2H25,O2H25
O25H51,O25H51
O24H4,O24H4
O78H40,O78H40
O51H1,O51H1
O86H12,O86H12
O112abH2,O112abH2
O96H7,O96H7
O109H51,O109H51
O138H20,O138H20
O25H52,O25H52
O119H4,O119H4
O8,O8
O64H10,O64H10
O21H12,O21H12
O152H40,O152H40
O123H12,O123H12
O28acH21,O28acH21
O81H10,O81H10
O98H8,O98H8
O55H51,O55H51
O76H45,O76H45
O73H19,O73H19
O75H21,O75H21
O20H4,O20H4
O84H2,O84H2
O177H19,O177H19
O78H9,O78H9
O7H8,O7H8
O23H45,O23H45
O133H5,O133H5
O38H26,O38H26
O159H11,O159H11
O127H45,O127H45
O3H8,O3H8
O55H9,O55H9
O177H10,O177H10
O53,O53
O78H10,O78H10
O165H9,O165H9
O12H20,O12H20
O16H14,O16H14
O134H31,O134H31
O83H6,O83H6
O11H21,O11H21
O139H1,O139H1
O11H52,O11H52
O34H10,O34H10
O60H12,O60H12
O128abH10,O128abH10
O140H26,O140H26
O131H7,O131H7
O4H34,O4H34
O16H27,O16H27
O164H7,O164H7
O8H40,O8H40
O4H11,O4H11
O13_O135H10,O13_O135H10
O86H18,O86H18
O15H10,O15H10
O18H1,O18H1
O149H2,O149H2
O53H48,O53H48
O66H45,O66H45
O114H9,O114H9
O56H19,O56H19
O62H9,O62H9
O36H14,O36H14
O88H19,O88H19
O6H31,O6H31
O132H34,O132H34
O118_O151H19,O118_O151H19
O25H18,O25H18
O17_O77H18,O17_O77H18
O45H45,O45H45
O118_O151H11,O118_O151H11
O131,O131
O147H5,O147H5
O8H12,O8H12
O170H5,O170H5
O142H21,O142H21
O21H16,O21H16
O86H10,O86H10
O15H2,O15H2
O45H20,O45H20
O2H4,O2H4
O11H4,O11H4
O10H28,O10H28
O180H2,O180H2
O179H8,O179H8
O115H51,O115H51
O130H27,O130H27
O11H12,O11H12
O13H4,O13H4
O26H32,O26H32
O166H15,O166H15
O86H6,O86H6
O131H8,O131H8
O103H4,O103H4
O61H11,O61H11
O146H19,O146H19
O123_O186H19,O123_O186H19
O39H9,O39H9
O89H4,O89H4
O54H14,O54H14
O182H23,O182H23
O121H10,O121H10
O102H31,O102H31
O88H23,O88H23
O8H14,O8H14
O4H2,O4H2
O5H1,O5H1
O99H4,O99H4
O10H32,O10H32
O154H38,O154H38
O156H23,O156H23
O110H9,O110H9
O131H9,O131H9
O8H20,O8H20
O112acH7,O112acH7
O126H4,O126H4
O1H7,O1H7
O112ab,O112ab
O185H2,O185H2
O54H28,O54H28
O21H54,O21H54
O71H48,O71H48
O184H21,O184H21
O21H52,O21H52
O40H32,O40H32
O51H52,O51H52
O62H10,O62H10
O34H20,O34H20
O152,O152
O162H5,O162H5
O99H55,O99H55
O45H2,O45H2
O9H33,O9H33
O157H45,O157H45
O131H21,O131H21
O175H15,O175H15
O183H4,O183H4
O121H19,O121H19
O41H8,O41H8
O80H26,O80H26
O112abH19,O112abH19
O133H29,O133H29
O85H9,O85H9
O111H4,O111H4
O10H5,O10H5
O131H19,O131H19
O85H42,O85H42
O17_O77,O17_O77
O123_O186H16,O123_O186H16
O134H38,O134H38
O174H8,O174H8
O26H8,O26H8
O91H9,O91H9
O3H2,O3H2
O115H4,O115H4
O99H9,O99H9
O112abH10,O112abH10
O147H10,O147H10
O149H1,O149H1
O18H55,O18H55
O177H26,O177H26
O99H25,O99H25
O8H17,O8H17
O7H9,O7H9
O96H8,O96H8
O183,O183
O168H16,O168H16
O81H4,O81H4
O40H12,O40H12
O110H5,O110H5
O8H42,O8H42
O32H35,O32H35
O162H7,O162H7
O173H21,O173H21
O154H11,O154H11
O9H21,O9H21
O159H25,O159H25
O16H32,O16H32
O136H7,O136H7
O53H18,O53H18
O63H34,O63H34
O109H10,O109H10
O118_O151H27,O118_O151H27
O174H27,O174H27
O141abH5,O141abH5
O40H4,O40H4
O18H4,O18H4
O76H14,O76H14
O21H7,O21H7
O29H10,O29H10
O142H5,O142H5
O133H39,O133H39
O29H51,O29H51
O41H26,O41H26
O17_O77H1,O17_O77H1
O76H34,O76H34
O173H28,O173H28
O113H30,O113H30
O65H9,O65H9
O21H10,O21H10
O71H19,O71H19
O83H30,O83H30
O152H8,O152H8
O180H14,O180H14
O132H16,O132H16
O112acH18,O112acH18
O152H19,O152H19
O84H5,O84H5
O8H3,O8H3
O8H4,O8H4
